epoch,loss
0,5.37215395684202
1,1.517171805612422
2,0.5296861931440141
3,0.2714576095606519
4,0.19897244057546476
5,0.17406153628826296
6,0.1615862336989734
7,0.15259690958939418
8,0.14480156511247427
9,0.13760132989947654
10,0.13082855105203645
11,0.12442599820162387
12,0.11836528144947266
13,0.1126260741097341
14,0.10719079282790785
15,0.10204320866711622
16,0.09716805930099305
17,0.09255091750573928
18,0.08817812654070024
19,0.08403675418130659
20,0.08011455305647074
21,0.0763999240691388
22,0.07288188200285309
23,0.06955002301207658
24,0.06639449384916653
25,0.06340596272403676
26,0.06057559170703932
27,0.05789501059261637
28,0.05535629214621606
29,0.05295192866121773
30,0.05067480975652356
31,0.048518201349155785
32,0.0464757257396732
33,0.04454134275151501
34,0.04270933186849458
35,0.04097427531761946
36,0.03933104204720819
37,0.03777477255292308
38,0.036300864506844964
39,0.034904959147091214
40,0.033582928387727314
41,0.032330862610852114
42,0.03114505910475493
43,0.030022011113952297
44,0.028958397468722922
45,0.027951072763471783
46,0.026997058054878575
47,0.026093532052321858
48,0.02523782277452684
49,0.02442739964776295
